Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1998","1998","million USD","27.645","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1998","1998","million USD","42.676855","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1999","1999","million USD","87.791614","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1999","1999","million USD","122.152842","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2000","2000","million USD","97.800556","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2000","2000","million USD","121.0836","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2001","2001","million USD","75.181085","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2001","2001","million USD","86.725157","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2002","2002","million USD","17.335837","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2002","2002","million USD","19.590929","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2003","2003","million USD","1.264678","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2003","2003","million USD","1.534895","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2004","2004","million USD","24.942117","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2004","2004","million USD","29.330451","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2005","2005","million USD","9.959782","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2005","2005","million USD","10.681934","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2006","2006","million USD","-2.039788","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2006","2006","million USD","-2.056561","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2007","2007","million USD","78.996996","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2007","2007","million USD","75.488083","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2008","2008","million USD","61.486928","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2008","2008","million USD","56.360438","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","million USD","22.248727","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2009","2009","million USD","23.821264","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","million USD","101.279564","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2010","2010","million USD","96.988501","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","484","Mexico","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2011","2011","million USD","139.63618","X","Figure from international organizations","Data source: UNCTAD"
