Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Oman,OMN,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oman,OMN,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.414642155170441,..,0.724727272987366,..,0.766030848026276,..,0.903639674186707,0.560884475708008,0.657538533210754,0.38773900270462,0.345938503742218,0.345133304595947,0.506844520568848,0.327373415231705,0.319510161876678,0.132201880216599,0.175082936882973,0.15266977250576,0.304765224456787,0.264559596776962,0.333613365888596,0.242988526821136,0.241789311170578,0.448438465595245,0.227259784936905,0.086335800588131,..
Pakistan,PAK,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,..,..,..,..,..,..,..,..,..,..,45380000,46236000,120187000,156614000,292474000,438322000,552690663.8,606064978,641578477.4,572734246.7,674070765.4,1023906513,1418732936.3,1612545892.5,1440163740.4,1455332905.9,1193997323.2,922109138.7,553668079.5,932602843.1,835465620.9,1067634371.2,1127311625,1121515821.3,1557417565.5,1612773283.6,1395553149.5,1281173552.3,1360202068.9,1936844882,1750716258.3,2020512684.5,2262707595.4,2360640175.4,2139925092.2,1735155219,1718002234,1649951667,4613647744.5,9044789416.3,10257984673.5,9961776336.4,7683737621.6,5112541985.8,5000705568,6358513443.7,7234607401.4,7664069520.5,7276015104,8097223701.1,8902391565.8,10840580663.5,..
Pakistan,PAK,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.22003042697906,..,-1.08091521263123,..,-0.894909560680389,..,-0.955985903739929,-0.804457187652588,-1.17881202697754,-1.06204557418823,-0.818344295024872,-0.818873345851898,-0.899149179458618,-1.07562577724457,-1.08961069583893,-1.08339202404022,-1.06879222393036,-0.962642073631287,-0.838965237140656,-0.806425869464874,-0.872386276721954,-0.777308523654938,-0.777166604995728,-0.85709273815155,-0.832873284816742,-0.785676658153534,..
Palau,PLW,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Palau,PLW,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.328292846679688,-0.399734556674957,-0.502526104450226,-0.536440134048462,-0.433817923069,-0.649806022644043,-0.478502005338669,-0.530125439167023,-0.434362471103668,-0.477816432714462,-0.558374106884003,-0.453386813402176,-0.467435479164124,-0.428823858499527,..
Panama,PAN,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,PAN,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.201105654239655,..,-0.139865472912788,..,-0.319528043270111,..,-0.335230827331543,-0.395565360784531,-0.300811678171158,-0.390578359365463,-0.36358454823494,-0.339885622262955,-0.101286359131336,-0.327103823423386,-0.358153432607651,-0.354332804679871,-0.395119667053223,-0.380920946598053,-0.369681090116501,-0.409979104995728,-0.551290392875671,-0.591011941432953,-0.588354706764221,-0.623118281364441,-0.562733948230743,-0.570509850978851,..
Papua New Guinea,PNG,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,28768000,30008000,30038826.3,23868348.4,30930957.3,75149598.2,71160285,67562637.8,33933996.5,28917356.6,15089395.2,11976327.7,6120243.6,3039652.1,61047763.3,61272471.4,58898125,44126987,15633533.2,49559577,50817507.4,47682493.6,45549771.6,34285299.1,51054528.4,119188273.2,128936876.8,135357007.3,78708099.8,13292211,13990920,14696325,14324511,196736185.8,193265013,192667660.1,192874711.8,193261143.8,181816337.9,173900873.1,168705569.8,178720301.5,174535997.2,173536313.7,559823711.2,897083666.3,..
Papua New Guinea,PNG,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.433467239141464,..,-0.698877692222595,..,-0.786500871181488,..,-0.947748064994812,-0.813447833061218,-0.995903432369232,-1.15102338790894,-1.13993716239929,-1.11834168434143,-1.1764702796936,-1.24256598949432,-1.03937900066376,-1.03357470035553,-0.938103914260864,-0.959146857261658,-0.909913182258606,-0.92755001783371,-0.924967050552368,-0.894592583179474,-0.856745481491089,-0.991500794887543,-0.580902516841888,-0.755582630634308,..
